Energy, gamma, proton
4.0, 7.097232079488999e-06, 0.0
4.1, 9.386281588447653e-05, 2.2304832713754645e-05
4.2, 8.571428571428571e-05, 4.35097897026831e-05
4.3, 0.0003770848440899202, 0.00014144271570014144
4.4, 0.0007220216606498195, 0.00048005908419497783
4.5, 0.0018686131386861315, 0.0008773181169757489
4.6, 0.0045540246555474985, 0.0022021660649819493
4.7, 0.008662280701754385, 0.0045
4.8, 0.01718550106609808, 0.009929527836504581
4.9, 0.028946236559139783, 0.017799283154121864
5.0, 0.03386423034824759, 0.02162886828287342
5.1, 0.05712720049318446, 0.035247683572890945
5.2, 0.09561174736364667, 0.05920178786026017
5.3, 0.1472225904812409, 0.09394688743145899
5.4, 0.20488191751850546, 0.14032903512672298
5.5, 0.28728136829598516, 0.20574854145479848
5.6, 0.38202029698863477, 0.2848982700467849
5.7, 0.4984780954451571, 0.39303219338309014
5.8, 0.6190148407169801, 0.5225892067236804
5.9, 0.7416940951416434, 0.6652031971180907
6.0, 0.8492198678203993, 0.7838452003856218
6.1, 0.9146430709866277, 0.8816295157571099
6.2, 0.9607498138999797, 0.9446938775510204
6.3, 0.9821275989746511, 0.9788262876401201
6.4, 0.993364862003247, 0.9930107118438046
6.5, 0.996668349318526, 0.9910723554448251
6.6, 0.9990316645686066, 0.9990557129367328
6.7, 0.9998952221290863, 0.9996835776816791
6.8, 1.0, 0.9994652406417113
6.9, 0.9995848038198049, 0.9998983119788489
